Frame,Time,Speed,Gear,RPM,Tyre_FL,Tyre_FR,Tyre_RL,Tyre_RR
44060,693.776,61,4,4320,21.8428,21.8428,24.8167,24.8167
44061,693.793,61,4,4297,21.8428,21.8428,24.8167,24.8167
44062,693.802,61,4,4289,21.8428,21.8428,24.8167,24.8167
44063,693.82,61,4,4272,21.8428,21.8428,24.8167,24.8167
44064,693.838,62,4,4230,21.8428,21.8428,24.8167,24.8167
44065,693.856,62,4,4216,21.8428,21.8428,24.8167,24.8167
44066,693.873,62,4,4183,21.8428,21.8428,24.8167,24.8167
44067,693.89,62,4,4137,21.8428,21.8428,24.8167,24.8167
44068,693.907,62,4,4084,21.8428,21.8428,24.8167,24.8167
44069,693.925,62,4,4027,21.8428,21.8428,24.8167,24.8167
44070,693.942,61,4,4018,21.8428,21.8428,24.8167,24.8167
44071,693.96,61,4,4018,21.8428,21.8428,24.8167,24.8167
44072,693.969,61,4,4016,21.8428,21.8428,24.8167,24.8167
44073,693.987,61,4,4015,21.8428,21.8428,24.8167,24.8167
44074,694.004,61,4,4012,21.8428,21.8428,24.8167,24.8167
44075,694.021,61,4,4010,21.8428,21.8428,24.8167,24.8167
44076,694.038,61,4,4007,21.8428,21.8428,24.8167,24.8167
44077,694.056,61,4,4004,21.8428,21.8428,24.8167,24.8167
44078,694.073,61,4,4001,21.8428,21.8428,24.8167,24.8167
44079,694.091,61,4,3998,21.8428,21.8428,24.8167,24.8167
44080,694.109,61,4,3995,21.8428,21.8428,24.8167,24.8167
44081,694.127,61,4,3992,21.8428,21.8428,24.8167,24.8167
44082,694.136,61,4,3989,21.8428,21.8428,24.8167,24.8167
44083,694.153,61,4,3986,21.8428,21.8428,24.8167,24.8167
44084,694.171,61,4,3984,21.8428,21.8428,24.8167,24.8167
44085,694.188,61,4,3983,21.8428,21.8428,24.8167,24.8167
44086,694.206,61,4,3981,21.8428,21.8428,24.8167,24.8167
44087,694.224,61,4,3981,21.8428,21.8428,24.8167,24.8167
44088,694.241,61,4,3980,21.8428,21.8428,24.8167,24.8167
44089,694.259,61,4,3981,21.8428,21.8428,24.8167,24.8167
44090,694.276,61,4,3982,21.8428,21.8428,24.8167,24.8167
44091,694.294,61,4,3983,21.8428,21.8428,24.8167,24.8167
44092,694.312,61,4,3990,21.8428,21.8428,24.8167,24.8167
44093,694.321,61,4,4009,21.8428,21.8428,24.8167,24.8167
44094,694.338,61,4,4038,21.8428,21.8428,24.8167,24.8167
44095,694.356,61,4,4074,21.8428,21.8428,24.8167,24.8167
44096,694.373,61,4,4112,21.8428,21.8428,24.8167,24.8167
44097,694.391,61,4,4159,21.8428,21.8428,24.8167,24.8167
44098,694.409,61,4,4218,21.8428,21.8428,24.8167,24.8167
44099,694.427,61,4,4324,21.8428,21.8428,24.8167,24.8167
44100,694.436,61,4,4342,21.8428,21.8428,24.8167,24.8167
44101,694.453,61,4,4352,21.8428,21.8428,24.8167,24.8167
44102,694.47,61,4,4372,21.8428,21.8428,24.8167,24.8167
44103,694.487,62,4,4380,21.8428,21.8428,24.8167,24.8167
44104,694.504,62,4,4394,21.8428,21.8428,24.8167,24.8167
44105,694.522,62,4,4391,21.8428,21.8428,24.8167,24.8167
44106,694.539,62,4,4396,21.8428,21.8428,24.8167,24.8167
44107,694.557,63,4,4396,21.8428,21.8428,24.8167,24.8167
44108,694.574,63,4,4399,21.8428,21.8428,24.8167,24.8167
44109,694.591,63,4,4413,21.8428,21.8428,24.8167,24.8167
44110,694.609,63,4,4416,21.8428,21.8428,24.8167,24.8167
44111,694.626,64,4,4418,21.8428,21.8428,24.8167,24.8167
44112,694.644,64,4,4420,21.8428,21.8428,24.8167,24.8167
44113,694.653,64,4,4425,21.8428,21.8428,24.8167,24.8167
44114,694.67,65,4,4431,21.8428,21.8428,24.8167,24.8167
